the-microsoft-365-enterprise-dev-test-environment, 6f916a77-301c-4be2-b407-6cec4d80df76, $$CURRENTPATH$/6f916a77-301c-4be2-b407-6cec4d80df76, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/cloud-adoption-test-lab-guides-tlgs/the-microsoft-365-enterprise-dev-test-environment/the-microsoft-365-enterprise-dev-test-environment
secure-sharepoint-online-team-sites-for-sensitive-and-highly-confidential-assets, 8c088e88-a9ba-4044-bced-722196f4496d, $$CURRENTPATH$/8c088e88-a9ba-4044-bced-722196f4496d, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/contoso-in-the-microsoft-cloud/secure-sharepoint-online-team-sites-for-sensitive-and-highly-confidential-assets
simulated-cross-premises-virtual-network-in-azure, 0a3555dc-6f96-49a5-b9e2-7760e16630b3, $$CURRENTPATH$/0a3555dc-6f96-49a5-b9e2-7760e16630b3, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/cloud-adoption-test-lab-guides-tlgs/simulated-cross-premises-virtual-network-in-azure
microsoft-cloud-networking-for-enterprise-architects, 13c71689-59a9-4cdf-8175-808a20c1e879, $$CURRENTPATH$/13c71689-59a9-4cdf-8175-808a20c1e879, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-cloud-networking-for-enterprise-architects/microsoft-cloud-networking-for-enterprise-architects
build-from-the-ground-up, 84348d0c-d9d1-4a98-9b99-8433f9b70e45, $$CURRENTPATH$/84348d0c-d9d1-4a98-9b99-8433f9b70e45, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-cloud-storage-for-enterprise-architects/build-from-the-ground-up
high-availability-federated-authentication-phase-1-configure-azure, 91266aac-4d00-4b5f-b424-86a1a837792c, $$CURRENTPATH$/91266aac-4d00-4b5f-b424-86a1a837792c, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/hybrid-solutions/deploy-high-availability-federated-authentication-for-office-365-in-azure/high-availability-federated-authentication-phase-1-configure-azure
contoso’s-it-infrastructure-and-needs, 5d6a58b8-bec3-4629-9737-8733c7b7ec92, $$CURRENTPATH$/5d6a58b8-bec3-4629-9737-8733c7b7ec92, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/contoso-in-the-microsoft-cloud/contoso’s-it-infrastructure-and-needs
automate-file-collection-for-ediscovery, 8d751419-d81b-4eb7-a2e5-8b03ccbf670c, $$CURRENTPATH$/8d751419-d81b-4eb7-a2e5-8b03ccbf670c, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/hybrid-solutions/automate-file-collection-for-ediscovery
overview-of-the-contoso-corporation, 1de16e29-ac2e-40b5-bf13-9301a51e16a8, $$CURRENTPATH$/1de16e29-ac2e-40b5-bf13-9301a51e16a8, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/contoso-in-the-microsoft-cloud/overview-of-the-contoso-corporation
exchange-online-integration-for-your-office-365-and-dynamics-365-dev-test-enviro, 499c5823-427a-4ba2-8fc1-9553bc2ff2d3, $$CURRENTPATH$/499c5823-427a-4ba2-8fc1-9553bc2ff2d3, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/cloud-adoption-test-lab-guides-tlgs/office-365-and-dynamics-365-dev-test-environment/exchange-online-integration-for-your-office-365-and-dynamics-365-dev-test-enviro
networking-for-the-contoso-corporation, 014b3710-e6e9-485c-8550-975d510eb2fc, $$CURRENTPATH$/014b3710-e6e9-485c-8550-975d510eb2fc, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/contoso-in-the-microsoft-cloud/networking-for-the-contoso-corporation
deploy-sharepoint-online-sites-for-three-tiers-of-protection, 1e8e3cfd-b878-4088-b941-9940363a5fae, $$CURRENTPATH$/1e8e3cfd-b878-4088-b941-9940363a5fae, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/security-solutions/secure-sharepoint-online-sites-and-files/deploy-sharepoint-online-sites-for-three-tiers-of-protection
move-in-ready, c27d9a45-92f4-4d14-affc-9a4c459910be, $$CURRENTPATH$/c27d9a45-92f4-4d14-affc-9a4c459910be, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-cloud-storage-for-enterprise-architects/move-in-ready
